,Feature,Coefficient
14,PAY_0,0.5280450346880214
4,BILL_AMT3,0.1448475762333664
3,BILL_AMT2,0.11132107424403354
20,EDUCATION,0.07406468744100339
1,AGE,0.07340352232439158
16,PAY_3,0.06870307822128965
15,PAY_2,0.06538723811992937
5,BILL_AMT4,0.049149450378398414
21,MARRIAGE_1,0.048228260039732074
18,PAY_5,0.03426734213333658
17,PAY_4,0.01602197785675043
7,BILL_AMT6,0.0017330970215212083
19,PAY_6,-0.015159970165009308
6,BILL_AMT5,-0.02734639253607201
13,PAY_AMT6,-0.02944326396959235
11,PAY_AMT4,-0.03780335321115388
12,PAY_AMT5,-0.03788059699471979
22,MARRIAGE_2,-0.09721381991003919
10,PAY_AMT3,-0.09730259940486712
24,SEX_2,-0.10295603770944549
0,LIMIT_BAL,-0.10827664898748816
23,MARRIAGE_3,-0.16466162431135434
8,PAY_AMT1,-0.18813606831414045
9,PAY_AMT2,-0.2046309588634527
2,BILL_AMT1,-0.3634575481630339
